MerchantID,Name,BusinessType,RegistrationDate,GSTStatus,AvgTransactionVolume
M-00001,Hopkins Ltd,Services,2018-12-21,Not Registered,45296.98
M-00002,Aguilar-Barker,Retail,2021-06-02,Registered,22139.35
M-00003,"Green, Sandoval and Hancock",Services,2019-06-24,Not Registered,42489.14
M-00004,Valdez-Haynes,Services,2023-07-02,Not Registered,46244.42
M-00005,Carson-Lester,Wholesale,2024-08-14,Registered,7370.75
M-00006,Bailey-Salas,Food & Beverage,2019-06-15,Registered,31979.21
M-00007,"Pruitt, Harrell and Hodges",Retail,2018-03-01,Not Registered,18218.56
M-00008,"George, Martinez and Nguyen",E-commerce,2024-08-14,Not Registered,7435.13
M-00009,"Ramsey, Jimenez and Garza",Retail,2022-07-18,Registered,33528.28
M-00010,Collins PLC,Food & Beverage,2024-01-15,Registered,3714.09
M-00011,Johnston PLC,E-commerce,2023-11-22,Not Registered,47890.09
M-00012,Lee Inc,Retail,2019-11-26,Registered,37871.66
M-00013,"Stone, Gibson and Sanchez",Retail,2018-10-11,Registered,49021.72
M-00014,Gates-Neal,Wholesale,2017-04-07,Not Registered,28006.02
M-00015,"Mills, Morgan and Fox",Retail,2022-04-01,Not Registered,4323.0
M-00016,Marks-Barker,Wholesale,2015-12-07,Not Registered,6273.7
M-00017,"Cook, Davis and Carney",Retail,2022-07-02,Registered,6687.59
M-00018,Jensen and Sons,E-commerce,2021-09-04,Not Registered,18890.61
M-00019,Jordan-Waller,Retail,2020-02-15,Registered,47005.47
M-00020,Reed-Pratt,Food & Beverage,2020-02-26,Registered,45530.06
M-00021,Novak-Mckay,E-commerce,2016-02-05,Registered,41194.38
M-00022,"Johnson, Meyers and Maldonado",E-commerce,2018-05-12,Not Registered,28516.53
M-00023,"Davila, Smith and Delgado",Food & Beverage,2017-05-04,Registered,35114.41
M-00024,Lindsey Ltd,E-commerce,2019-11-18,Registered,37092.04
M-00025,Rosales Ltd,Services,2024-06-16,Registered,29730.98
M-00026,Wallace-Holland,Retail,2020-09-27,Registered,17662.47
M-00027,Coffey Group,Food & Beverage,2019-11-16,Not Registered,34410.22
M-00028,Scott-Morrison,E-commerce,2019-09-24,Not Registered,19105.04
M-00029,"Bryant, Sanchez and Miller",Food & Beverage,2017-07-24,Registered,27961.45
M-00030,"Rose, Sanchez and Walker",Retail,2016-05-15,Not Registered,2922.36
M-00031,Elliott and Sons,Food & Beverage,2016-10-23,Not Registered,13501.15
M-00032,Jones-Solis,Retail,2015-05-08,Registered,10994.98
M-00033,Baldwin Ltd,Services,2024-02-05,Registered,34797.9
